date,time,creek,location,fish,comments,observer
2014-05-03,2PM,Seigler,Perini,0,clear shallow water,Voegtly
2014-05-02,12:45PM,Adobe,Bell Hill,0,dry,Franson
2014-05-02,2:05PM,Clover,Elk Mt Rd,0,"Water clear, level down, several hundred juvenile               Sac. suckers seen ~1-1.5 cm., no predators seen",Franson
2014-05-02,1:45PM,Kelsey,Main,0,Swallows (100s); 1 green heron,Harty
2014-05-02,1:25PM,Kelsey,Merritt,0,Mallard; few swallows,Harty
2014-05-02,1:40PM,Middle,s of Hwy 20,0,"Water clear, level very low, no adult fish, no egg               masses seen, no predators seen",Franson
2014-05-02,1:45PM,Middle,Bridge Arbor,0,"Water clear, low; ~200 juvenile Sac. suckers from               about 1-2.5 cm.; no predators seen",Franson
2014-05-02,2:15PM,Middle,N of Hwy 20,0,"Water clear, level down, ~40 juvenile Sac. suckers               ~1 cm., no predators seen",Franson
2014-05-02,1:10PM,Scotts,Tulelake,0,"Water clear, level down; roughly 4 schools of juveniles,               ~ a few hundred in each, nearly all Sac. suckers with ~10 Sac. blackfish;               2 predators seen",Franson
2014-04-30,3:13PM,Kelsey,Soda Bay,0,"Swallows; lower water, slow flow",Harty
2014-04-30,12:20PM,Kelsey,Merritt,0,Swallows; water flow down,Harty
2014-04-29,3:15PM,Kelsey,Merritt,0,Swallows,Harty
2014-04-29,3:00PM,Kelsey,Soda Bay,0,4 mallards; swallows; quail,Harty
2014-04-27,7:30PM,Adobe,Soda Bay,0,No water,Harty
2014-04-27,7:40PM,Kelsey,Soda Bay,0,Lower water,Harty
2014-04-21,1:40PM,Adobe,Soda Bay,0,Water slow; mallards nesting pair; great blue heron;               swallows,Harty
2014-04-21,2:39PM,Kelsey,Hwy 29,0,Fast water; clear,Harty
2014-04-21,1:30PM,Kelsey,Soda Bay,0,"Water slow, clear; ducks (pintails?)",Harty
2014-04-21,1:21PM,Kelsey,Merritt,0,"Water slow, clear",Harty
2014-04-20,7PM,Seigler,Perini,0,very low flow,Desmond
2014-04-19,5:33PM,Kelsey,Merritt,30+,"12""-18"" dark stripe, full body, gold to               pink scale inside; in calm water upstream about 30 yards; Sacramento               pike/minnow; one dorsal fin rear; trout?",Harty
2014-04-18,1:45PM,Adobe,Bell Hill,0,"clear, levels down, running; 40 juvenile suckers",Franson
2014-04-18,2:50PM,Clover,Elk Mt Rd,0,"water level down, clear, 2 juvenile suckers",Franson
2014-04-18,2:15PM,kelsey,Detention Structure,0,"Met w Ben Ewing, DFW",Smythe
2014-04-18,5:40PM,Kelsey,Main,0,"Water flow, clear over ladder",Harty
2014-04-18,2:40PM,Middle,Hwy 20,0,"water level down, clear; no fish, eggs, or predators",Franson
2014-04-18,3:10PM,Middle,Hwy 20,0,"water level down, clear, 4 juvenile suckers",Franson
2014-04-18,2:30PM,Scotts,Tulelake dam,0,water being pumped from paddies; muddy; herons and               kingfisher,Franson
2014-04-15,4:45PM,Adobe,Manning Bridge,9,2 females; no herons; no mergansers; water is getting               narrow; might last a week,Manning
2014-04-15,4:10PM,Adobe,Soda Bay,0,Lone duck up creek; swallows (100s),Harty
2014-04-15,3:50PM,Kelsey,Soda Bay,0,"Water low, slow; nesting pair mallards up creek",Harty
2014-04-15,4:25PM,Manning,Soda Bay,0,"Water still, stagnant",Harty
2014-04-15,NA,Seigler,Perini,0,"significantly lower flow, no aquatic life",Desmond
2014-04-14,1:15PM,Adobe,Bell Hill,0,"no predators; reservoir fairly full, water in creek               down",Franson
2014-04-14,2:30PM,Clover,Elk Mt Rd,0,"no predators, water level down",Franson
2014-04-14,7:30AM,Kelsey,Quercus Bridge,0,NA,Smythe
2014-04-14,2:20PM,Middle,Hwy 20,0,"no predators, water level down",Franson
2014-04-14,2:45PM,Middle,Hwy 20,0,"no predators, water level down; very young Sac suckers               next to bank",Franson
2014-04-14,2:10PM,Scotts,below Tulelake,0,only predator seen pelagic cormorant,Franson
2014-04-11,7:10AM,Kelsey,Quercus Bridge,0,NA,Smythe
2014-04-11,10AM,Seigler,Rebekah,10,"small fish, probably male",Barnes/Rett
2014-04-11,6PM,Seigler,Perini,0,"two mallards on creek; low flow, no aquatic life",Desmond
2014-04-10,1:15PM,Kelsey,Detention Structure,0,NA,Smythe
2014-04-10,1:30PM,Kelsey,Quercus Bridge,0,NA,Smythe
2014-04-09,5:05PM,Adobe,Soda Bay,0,"Water clear, slow",Harty
2014-04-09,NA,kelsey,Detention,0,small school of Sac suckers seen above dam; structure               fully opened,Smythe
2014-04-09,5PM,kelsey,Detention,0,about a dozen dead Sac suckers below dam,Murphy
2014-04-09,7:10AM,Kelsey,Quercus Bridge,0,2 GB herons,Smythe
2014-04-09,7:20AM,Kelsey,Detention Structure,0,"Water level 5.5'. Opened gate additional 1"".               5 dead Sac suckers washed out from upstream of dam. 2 mallards,               2 mergansers, 1 GB heron",Smythe
2014-04-09,4PM,Kelsey,Detention Structure,0,Water level 2.3 ft. Finished opening Structure. All               gates at 10 ft opening.,Smythe
