date,creek,location,fish,comments,observer
2009-01-14,Thompson,Argonaut,0,no water,Leonardis
2009-01-16,Thompson,Argonaut,0,no water,Leonardis
2009-01-18,Thompson,Argonaut,0,no water,Leonardis
2009-02-09,Kelsey,detention,0,"cool, drizzle",Smythe
2009-02-09,Kelsey,Quercus,0,"cool, drizzle",Smythe
2009-02-11,Kelsey,detention,0,"cool, rain",Smythe
2009-02-11,Kelsey,Quercus,0,"cool, rain",Smythe
2009-02-12,Kelsey,detention,0,"cool, rain; clear debris and begin closing structure",Smythe
2009-02-13,Thompson,Argonaut,0,no water,Leonardis
2009-02-15,Kelsey,detention,0,rain; open center gate 2,Smythe
2009-02-16,Hendricks,Scotts Valley Rd.,0,NA,Dills
2009-02-16,Kelsey,detention,0,rain; open center gate additional 1,Smythe
2009-02-17,Hendricks,Scotts Valley Rd.,0,NA,Dills
2009-02-18,Hendricks,Scotts Valley Rd.,0,NA,Dills
2009-02-18,Kelsey,detention,0,cloudy; closed center gate to 2,Smythe
2009-02-19,Adobe,Finley East,0,"cloudy, cool",Smythe
2009-02-19,Hendricks,Scotts Valley Rd.,0,NA,Dills
2009-02-19,Kelsey,detention,0,"cloudy, cool",Smythe
2009-02-19,Kelsey,Quercus,0,cloudy,Smythe
2009-02-19,McGaugh,Finley East,0,flow has stopped,Smythe
2009-02-19,Thompson,Argonaut,0,water flowing,Leonardis
2009-02-20,Adobe,Finley East,0,"clear, cool",Smythe
2009-02-20,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-20,Kelsey,detention,0,"clear, cool; closed center gate",Smythe
2009-02-20,Kelsey,Quercus,0,cloudy,Smythe
2009-02-20,McGaugh,Finley East,0,"cloudy, cool",Smythe
2009-02-21,Adobe,SBR,0,NA,Windrem
2009-02-21,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-21,Kelsey,SBR,0,NA,Windrem
2009-02-22,Hendricks,Scotts Valley Rd.,0,Rain,Dills
2009-02-22,Kelsey,detention,0,rain; opened east and center gates,Smythe
2009-02-22,Kelsey,detention,0,rain; opened all three gates,Smythe
2009-02-23,Adobe,Finley East,0,"cloudy, cool",Smythe
2009-02-23,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-23,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-23,Kelsey,detention,0,cloudy; closed east gate,Smythe
2009-02-23,Kelsey,detention,0,"cloudy; remove debris from west gate; fish observed jumping       upstream",Smythe
2009-02-23,Kelsey,Quercus,0,light rain,Smythe
2009-02-23,McGaugh,Finley East,0,"cloudy, cool; minimal flow",Smythe
2009-02-24,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-24,Kelsey,detention,0,"clear, cool; closed center gate to 4; fish observed       jumping upstream",Smythe
2009-02-24,Thompson,Argonaut,0,water flowing,Leonardis
2009-02-25,Adobe,Finley East,0,"cloudy, cool",Smythe
2009-02-25,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-25,Kelsey,detention,0,"cloudy, cool; closed center gate",Smythe
2009-02-25,Kelsey,Quercus,0,light rain,Smythe
2009-02-25,McGaugh,Finley East,0,cloudy; no flow,Smythe
2009-02-26,Hendricks,Scotts Valley Rd.,0,Sunny,Dills
2009-02-27,Adobe,Finley East,0,light rain,Smythe
2009-02-27,Adobe,Merritt,0,confirmed Sacramento suckers,Moorhead
2009-02-27,Hendricks,Scotts Valley Rd.,0,Sunny,Dills
2009-02-27,Kelsey,detention,0,light rain,Smythe
2009-02-27,Kelsey,Quercus,0,light rain,Smythe
2009-02-27,McGaugh,Finley East,0,light rain,Smythe
2009-02-28,Adobe,Merritt,0,about 12 Sacramento suckers,Windrem
2009-02-28,Adobe,SBR,0,suckers,Windrem
2009-02-28,Hendricks,Scotts Valley Rd.,0,Partly cloudy,Dills
2009-02-28,Kelsey,SBR,0,NA,Windrem
2009-02-28,Kelsey,Veterans,0,no birds,Windrem
2009-03-01,Hendricks,Scotts Valley Rd.,0,Rain,Dills
2009-03-01,Kelsey,detention,0,rain; opened center gate,Smythe
2009-03-02,Adobe,Bell Hill,0,high flood water,Windrem
2009-03-02,Hendricks,Scotts Valley Rd.,0,Rain,Dills
2009-03-03,Schindler,Hwy 20,0,muddy & turbulent,Barnes/Rett
2009-03-04,Kelsey,detention,0,"partly cloudy, closed structure",Smythe
2009-03-05,Adobe,Finley East,0,"clear, cold",Smythe
2009-03-05,Kelsey,detention,0,"clear, cold",Smythe
2009-03-05,Kelsey,Quercus,0,"clear, cold",Smythe
2009-03-05,McGaugh,Finley East,0,"clear, cold, minimal flow",Smythe
2009-03-05,Schindler,4th St,0,water moving swiftly,Barnes/Rett
2009-03-05,Schindler,Hwy 20,0,water moving swiftly,Barnes/Rett
2009-03-05,Seigler,Lake St,0,water moving swiftly,Barnes/Rett
2009-03-06,Adobe,Finley East,?,"streams are starting to clear ; saw a fish jump near       the bank (unidentified, might be sucker)",Smythe
2009-03-06,Adobe,Finley East,0,"clear, cold; One fish observed jumping near bank. Species       unknown",Smythe
2009-03-06,Hendricks,Scotts Valley Rd.,0,Sunny,Dills
