date,time,creek,location,fish,comments,observer
2018-04-25,NA,Adobe,Finley East,30,NA,Ewing
2018-04-25,NA,Kelsey,SBR,180,NA,Ewing
2018-04-24,NA,Adobe,above Bell Hill,20,There were about 20 mature fish about a hundred yards               above Bell Hill. I saw no fish from there to above the confluence               with Highland Creek about 200 yards.,Lowrie
2018-04-20,1:45PM,Adobe,Finley East,0,Clear water,Windrem
2018-04-20,12:20,Alley,Pitney Lane,0,Clear water,Windrem
2018-04-20,12PM,Clover,Bridge Arbor,0,Clear water,Windrem
2018-04-20,12PM,Middle,Hiway 20,0,Clear water; no birds; no fish,Windrem
2018-04-20,12:25,Middle,Rancheria Road,0,8 suckers above concrete weir,Windrem
2018-04-16,11:30,Alley,Pitney Lane,0,With Ben Ewing,Windrem
2018-04-16,10AM,Bachelor Valley,Hiway 20,0,Inspect culverts under Hwy 20 with Ben Ewing &               other F&W and CalTrans personnel,Windrem
2018-04-16,12PM,Clover Bypass,Elk Mtn Road,0,Clear water; cloudy,Windrem
2018-04-16,11:45,Middle,Rancheria Road,0,With Ben Ewing; saw 3 suckers; no hitch,Windrem
2018-04-14,10AM,Middle,Hiway 20,12,NA,Hodge
2018-04-13,3PM,Alley,Pitney Lane Bridge,0,clear water,Cole-Lewis
2018-04-11,10:45am,Clover,Hiway 20,2,Water murky after storm,Hodge
2018-04-10,12:45PM,Schindler,4th St,0,"6 Sac suckers, one smaller fish that could be a hitch.               Water going down rapidly so fish could be stranded",Barnes/Rett
2018-04-08,3PM,Alley,Pitney Lane Bridge,0,water high fast and cloudy,Cole-Lewis
2018-04-06,11AM,Alley,1445 Pitney Lane,0,"heavy rain, creek swollen and cloudy",Cole-Lewis
2018-04-06,5PM,Kelsey,Main Street,0,Heavy rainfall begins and creek rises rapidly; flow               is high and fast; water is muddy; no fish are visible. Query: what               is effect of storm flows on eggs laid in preceding days?,Windrem
2018-04-05,7:30AM,Alley,1445 Pitney Lane,1,trapped?,Cole-Lewis
2018-04-05,12PM,Clover Bypass,Elk Mtn Road,80,Spawning fish,Windrem
2018-04-05,12:20,Middle,Hiway 20,200,Resting,Windrem
2018-04-05,11AM,Middle,Rancheria Road,0,10 suckers; no hitch,Hodge
2018-04-04,2PM,Alley,1445 Pitney Lane,0,NA,Cole-Lewis
2018-04-03,9:30AM,Alley,1445 Pitney Lane,15,sleepy,Cole-Lewis
2018-04-03,7PM,Alley,1445 Pitney Lane,10,they better stop hanging out or they ll be stranded,Cole-Lewis
2018-04-02,7:30AM,Alley,1445 Pitney Lane,20,sleeping?,Cole-Lewis
2018-04-02,NA,Clover,Pitney Lane,75,significantly fewer fish,Graziani
2018-04-02,NA,Clover,diversion gates,75,significantly fewer fish,Graziani
2018-04-02,9AM,Kelsey,Hellsbend,0,no suckers either,Murphy
2018-04-02,NA,Seigler,fish passageway,100,NA,Kennedy
2018-04-02,NA,Seigler,Jessie St,50,cement bottom is becoming a barrier,Kennedy
2018-04-02,NA,Seigler,Orchard St,50,NA,Kennedy
2018-04-02,NA,Seigler,Orchard St,50,NA,Kennedy
2018-04-02,5:30PM,Seigler,Jessie St,4,NA,Brandon
2018-04-01,11:45,Adobe,Finley East,100,moving upstream; no spawning activity,Windrem
2018-04-01,NA,Adobe,Bell Hill,100,also a few suckers,Feyrer
2018-04-01,1pm,Alley,Pitney Lane bridge,90,"clear, returning to lake",Cole-Lewis
2018-04-01,1:15PM,Alley,1445 Pitney Lane,30,"clear, tired fish",Cole-Lewis
2018-04-01,10:30AM,Alley,Pitney Lane,150,actively spawning; on Chi Council tour with Frank               Hodge & 7 others,Windrem
2018-04-01,NA,Clover,diversion gates,200,NA,Graziani
2018-04-01,NA,Clover,Pitney Lane,200,"The water pools around the bridge and is quite murky               but then the creek narrows and is clear and fast. I saw, again,               many hitch of various sizes swimming both upstream and down, and               (I believe) spawning in the gravelly shallows above the bridge.               Lots of thrashing and splashing! I have observed what I believe               is spawning in shallow gravelly spots in the diversion channel and               in Clover Creek immediately above the diversion as well.",Graziani
2018-04-01,3:30PM,Clover bypass,Elk Mt Rd,125,NA,Aebly
2018-04-01,5PM,Kelsey,Hellsbend,12,also 60 suckers very dramatic decline over the last               four days of the number of fish in the creek,Murphy
2018-04-01,NA,Kelsey,below detention,250,water still flowing over entire face of dam,Murphy
2018-04-01,NA,Kelsey,Merritt,30,NA,Murphy
2018-04-01,NA,Kelsey,Main St,0,NA,Murphy
2018-04-01,NA,Kelsey,Merritt,100,spawning on upstream side of bridge,Feyrer
2018-04-01,NA,Kelsey,above detention,100,NA,Feyrer
2018-04-01,9:30am,Middle,Hiway 20,400+,some spawning; others resting; 20 suckers in with               hitch,Windrem
2018-04-01,12:30,Middle,Rancheria Road,60,Hitch just above Rancheria Road Bridge; first hitch               reported above the bridge,Hodge
2018-04-01,12:30,Middle,Rancheria Road,100+,Schooled just below Rancheria Road Bridge,Windrem
