date,creek,location,fish,comments,observer
2013-05-13,Seigler,Perini,0,NA,Voegtly
2013-04-29,Seigler,Perini,0,2 minnows,Voegtly
2013-04-29,Seigler,Perini,0,"warm - no aquatic life. Seigler & Perini creeks 
              running very slow for this time of year",Desmond
2013-04-22,Adobe,SBR,0,"hundreds of fry, probably both hitch and suckers",Britton
2013-04-22,Seigler,Perini,0,water 3 deep,Voegtly
2013-04-21,Adobe,Bell Hill,0,low water;juv.suckers,Franson
2013-04-21,Kelsey,detention,0,juveniles seen upstream from dam,Murphy
2013-04-21,Middle,"end, Bridge Arbor",0,juvenile suckers seen,Franson
2013-04-21,Scotts,Tulelake,0,"1 dead fish, not id'ed",Franson
2013-04-20,Adobe,SBR,0,"lots of swallows, one heron",Ott
2013-04-19,Kelsey,Hellsbend,0,hundreds ofjuveniles about 3/4 inch long,Murphy
2013-04-18,Seigler,Perini,0,water level low,Desmond
2013-04-17,Adobe,Bell Hill,0,NA,Franson
2013-04-17,Clover Bypass,Elk Mtn Rd,0,NA,Franson
2013-04-17,Scotts,Tulelake,0,~14 un-id'ed ~3 cm juveniles observed,Franson
2013-04-17,Seigler,Perini,0,"6-8"" wide turtle swimming downstream. ~6"" 
              deep water downstream of bridge",Voegtly
2013-04-16,Adobe,SBR,0,2 herons,Ott
2013-04-16,Seigler,Perini,0,NA,Voegtly
2013-04-16,Seigler,Perini,0,1 drake,Voegtly
2013-04-15,Seigler,Perini,0,"no wildlife in sight, water level continues to slow",Desmond
2013-04-14,Adobe,Bell Hill,0,smaller juv.Sac suckers seen,Franson
2013-04-14,Alley,Pitney Bridge,0,NA,Franson
2013-04-14,Clover Bypass,Elk Mtn Rd,0,no predators seen,Franson
2013-04-14,Scotts,Tulelake,0,few predators seen,Franson
2013-04-13,Adobe,SBR,0,lots of swallows,Ott
2013-04-13,Kelsey,barrier,10,NA,Oscar Alvarado
2013-04-12,Kelsey,barrier,0,"windy, two birds",Oscar Alvarado
2013-04-12,Seigler,Jessie St,0,clear but rather low,Barnes/Rett
2013-04-12,Seigler,Rebekah,0,clear but rather low,Barnes/Rett
2013-04-12,Seigler,sewer line,0,clear but rather low,Barnes/Rett
2013-04-12,Seigler,1000 below sewer line,0,water too murky to see into,Barnes/Rett
2013-04-11,Adobe,SBR,10,"one small group hanging out in this area for several 
              days",Britton
2013-04-10,Adobe,Bell hill,0,juv.Sac.suckers seen,Franson
