date,creek,location,fish,comments,observer
2011-05-14,Seigler,Perini,0,NA,Voegtly
2011-05-07,Kelsey,Hellsbend,0,3 blue herons,Murphy
2011-05-07,Seigler,Lake St,0,hundred of unidentified fry; water flowing well,Barnes
2011-05-06,Kelsey,Hellsbend,7,3 blue herons,Murphy
2011-05-05,Cooper,Hwy 20,0,creek nearly dry,Franson
2011-05-05,Hendricks,Scotts Valley Rd,0,"2-3 cm unidentified juveniles observed, unidentified, 
                dark dorsum""",Franson
2011-05-05,Kelsey,Hellsbend,6,"3 blue herons, nine or ten inches long, slim and a lighter 
                shade of gray so I'm guessing they were males""",Murphy
2011-05-05,Scotts,"Eickhoff, .1 mi past bridge",0,numerous juveniles 1-2 cm seen near bank away from current,Franson
2011-05-05,Scotts,Eickhoff bridge,0,NA,Franson
2011-05-05,Scotts,Hwy 20,0,"water in creek clear but water at exit, Blue Lakes, cloudy""",Franson
2011-05-05,Scotts,Scotts Valley Rd,0,NA,Franson
2011-05-05,unnamed,"Eickhoff, half mile past bridge",0,"2-3 cm unidentified juveniles observed, unidentified, dark dorsum""",Franson
2011-05-05,unnamed culvert,"Eickhoff, .3 mi past bridge",0,NA,Franson
2011-05-04,Adobe,Bell Hill,0,rock dam upstream of culverts,Franson
2011-05-04,Adobe,SBR,0,one undientified 2 cm juvenile,Franson
2011-05-04,Alley,"Pitney Lane, 1/2 mi past bridge",0,flow adequate but reduced,Franson
2011-05-04,Alley,Pitney Lane bridge,0,flow reduced,Franson
2011-05-04,Clover,Bridge Arbor,0,NA,Franson
2011-05-04,Clover,Hwy 20,0,NA,Franson
2011-05-04,Clover Bypass,Elk Mt Rd,0,flow still good,Franson
2011-05-04,Cole,SBR,0,NA,Franson
2011-05-04,Kelsey,Dorn crossing,0,1-2 cm. juveniles seen in creek and in lagoon alongside,Franson
2011-05-04,Middle,Hwy 20,0,NA,Franson
2011-05-04,Middle,Rancheria Rd,0,NA,Franson
2011-05-04,Morrison,SBR,0,streambed dry,Franson
2011-05-04,Robinson,Bridge Arbor,0,"no adults, but 1-1.5 cm juveniles seen",Franson
2011-05-04,Scotts,just below Tulelake dam,0,"pumps are on; few juveniles seen ~1-1.5 cm, unidentified; 
                several black crowned night herons, 1 great white egret. 1 great 
                blue heron seen""",Franson
2011-04-30,Adobe,NA,0,"shallow, lots of tadpoles",Rowe
2011-04-30,Middle,2nd St,0,"shallow, dirty water",Rowe
2011-04-30,Robinson,NA,0,shallow,Rowe
2011-04-30,Schindler,4th St,0,water quite low,Barnes
2011-04-30,Schindler,Hwy 20,0,water quite low,Barnes
2011-04-30,Thompson,NA,0,no water,Rowe
