date,creek,location,fish,comments,observer
2007-02-18,Adobe,Finley East,0,NA,Petterson
2007-02-18,Adobe,Big Valley Rd,0,NA,Petterson
2007-02-25,Adobe,Soda Bay,0,"strong current, level too high",Juntunen
2007-03-04,Adobe,Soda Bay,0,"too murky to see below 12""",Windrem
2007-03-06,Adobe,Bell Hill,0,NA,Geary
2007-03-07,Adobe,Finley East,0,one heron and 2 mergansers,Smythe
2007-03-07,Adobe,Soda Bay,0,NA,Windrem
2007-03-07,Adobe,Bell Hill,0,"raining, moderate flow",Lynch
2007-03-11,Adobe,Bell Hill,0,NA,Matzinger
2007-03-12,Adobe,Bell Hill,0,water low,Geary
2007-03-13,Adobe,Stone Dr,100,NA,Manning
2007-03-13,Adobe,Merritt,0,NA,Devoto
2007-03-13,Adobe,Finley East,15,NA,Smythe
2007-03-13,Adobe,Merritt,0,NA,devoto
2007-03-13,Adobe,Soda Bay,100,NA,Windrem
2007-03-13,Adobe,Bell Hill,0,NA,Mottlow
2007-03-13,Adobe,Soda Bay Rd,2000,NA,Mottlow
2007-03-13,Adobe,Bell Hill,0,NA,Matzinger
2007-03-14,Adobe,Soda Bay,2000,"""thousands""",Lynch
2007-03-14,Adobe,Finley East,100,NA,Smythe
2007-03-14,Adobe,Soda Bay,1000,NA,Windrem
2007-03-14,Adobe,Soda Bay,1000,NA,Windrem
2007-03-14,Adobe,below dam,100,spawning?,Petterson
2007-03-15,Adobe,Big Valley Rd,400,NA,Moura
2007-03-15,Adobe,Finley East,100,NA,Moura
2007-03-16,Adobe,Merritt,175,NA,Moorhead
2007-03-16,Adobe,Merritt,175,NA,Moorhead
2007-03-17,Adobe,Bell Hill,30,barely able to pass through culvert,Devoto
2007-03-17,Adobe,Bell Hill,30,barely able to pass through culvert,devoto
2007-03-17,Adobe,Merritt,175,NA,Moorhead
2007-03-17,Adobe,Merritt,125,NA,Moorhead
2007-03-18,Adobe,Merritt,90,NA,Moorhead
2007-03-18,Adobe,Merritt,50,NA,Moorhead
2007-03-19,Adobe,Bell Hill,0,low water,Mottlow
2007-03-19,Adobe,Merritt,0,NA,Moorhead
2007-03-19,Adobe,Merritt,35,big hole only,Moorhead
2007-03-20,Adobe,Bell Hill,0,walked upstream but no sight of fish,devoto
2007-03-20,Adobe,Merritt,0,NA,Moorhead
2007-03-20,Adobe,Merritt,0,NA,Moorhead
2007-03-21,Adobe,Soda Bay,1500,"migrating upstream: 1 white heron, 1 green heron, 2 mergansers",Windrem
2007-03-21,Adobe,Soda Bay,1000,"migrating upstream: 1 white heron, 1 green heron, 2 mergansers",Windrem
2007-03-21,Adobe,Merritt,0,NA,Moorhead
2007-03-21,Adobe,Merritt,0,NA,Moorhead
2007-03-21,Adobe,Soda Bay Rd,150,warm sunny day,Geary
2007-03-22,Adobe,Finley East,0,NA,Windrem
2007-03-22,Adobe,Soda Bay Rd,0,NA,Windrem
2007-03-22,Adobe,Merritt,0,NA,Moorhead
2007-03-22,Adobe,Merritt,0,NA,Moorhead
2007-03-23,Adobe,Soda Bay Rd,0,10 mergansers & 8 black crowned herons,Windrem
2007-03-23,Adobe,Merritt,0,NA,Moorhead
